         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           SWT_IN          SWT_OUT         IN_OUT  PERCENT_ERROR
  NaN                   3    30         365.25        32873.5       5592.45415      19893.43240              0.0      25213.46791          39600.0              0.0       37.1299716        122.68380   2.0843727E-6   4.6084277E-9
  NaN                   3    31         365.25       33238.75       5265.50576      19545.80282              0.0      25234.04442          39600.0              0.0       34.9431410        120.60166   2.0968291E-6   4.6699514E-9
  NaN                   3    32         365.25        33604.0       4956.00205      19213.45961              0.0      25256.80611          39600.0              0.0       32.8749293        118.61126   2.0929001E-6   4.6937717E-9
  NaN                   3    33         365.25       33969.25       4666.57562      18899.22959              0.0      25281.55619          39600.0              0.0       30.9322282        116.72208   2.1126034E-6   4.7691247E-9
  NaN                   3    34         365.25        34334.5       4391.52780      18597.59404              0.0      25308.11236          39600.0              0.0       29.0904237        114.91182   1.6331687E-6   3.7100086E-9
  NaN                   3    35         365.25       34699.75       4130.68044      18308.54155              0.0      25336.30586          39600.0              0.0       27.3468652        113.17990   2.0257357E-6   4.6294037E-9
  NaN                   3    36         365.25        35065.0       3882.70741      18030.90032              0.0      25365.98046          39600.0              0.0       25.6952793        111.52191   2.2280365E-6   5.1209337E-9
  NaN                   3    37         365.25       35430.25       3650.15321      17767.35766              0.0      25396.99168          39600.0              0.0       24.1394522        109.94332   2.2012391E-6   5.0867131E-9
  NaN                   3    38         365.25        35795.5       3430.18727      17515.21516              0.0      25429.20587          39600.0              0.0       22.6639963        108.43024   2.3307293E-6   5.4136469E-9
  NaN                   3    39         365.25       36160.75       3222.23016      17274.01551              0.0      25462.49952          39600.0              0.0       21.2662194        106.98134   2.3325410E-6   5.4443293E-9
  NaN                   3    40         365.25        36526.0       3024.27262      17041.86238              0.0      25496.75848          39600.0              0.0       19.9330503        105.58480   2.3328466E-6   5.4704891E-9
  NaN                   3    41         365.25       36891.25       2835.03598      16817.58142              0.0      25531.87730          39600.0              0.0       18.6590230        104.23627   2.3082248E-6   5.4370410E-9
  NaN                   3    42         365.25        37256.5       2654.03515      16600.78391              0.0      25567.75861          39600.0              0.0       17.4408029        102.93344   2.3155517E-6   5.4778113E-9
  NaN                   3    43         365.25       37621.75       2480.81743      16391.10608              0.0      25604.31251          39600.0              0.0       16.2760734        101.67491   2.3211396E-6   5.5137764E-9
  NaN                   3    44         365.25        37987.0       2314.96038      16188.20763              0.0      25641.45605          39600.0              0.0       15.1644929        100.46120   2.3129687E-6   5.5162457E-9
  NaN                   3    45         365.25       38352.25       2156.07152      15991.77182              0.0      25679.11270          39600.0              0.0       14.1023765       99.2893816   2.3001194E-6   5.5066071E-9
  NaN                   3    46         365.25        38717.5       2003.78010      15801.49776              0.0      25717.21189          39600.0              0.0       13.0899296       98.1603738   2.2922468E-6   5.5079750E-9
  NaN                   3    47         365.25       39082.75       1859.85555      15619.21929              0.0      25755.68859          39600.0              0.0       12.1350163       97.0826841   2.2820241E-6   5.5025670E-9
  NaN                   3    48         365.25        39448.0       1723.80955      15444.50743              0.0      25794.48286          39600.0              0.0       11.2302232       96.0494901   2.2701352E-6   5.4920357E-9
  NaN                   3    49         365.25       39813.25       1594.09937      15275.87407              0.0      25833.53952          39600.0              0.0       10.3708654       95.0566481   2.2690656E-6   5.5068433E-9
  NaN                   3    50         365.25        40178.5       1472.54740      15115.19192              0.0      25872.80777          39600.0              0.0        9.5611448       94.1088566   2.2657987E-6   5.5152931E-9
  NaN                   3    51         365.25       40543.75       1357.57457      14960.92818              0.0      25912.24088          39600.0              0.0        8.7924270       93.1979368   2.2479580E-6   5.4873258E-9
  NaN                   3    52         365.25        40909.0       1248.37536      14812.31986              0.0      25951.79590          39600.0              0.0        8.0617513       92.3213469   2.2402310E-6   5.4831775E-9
  NaN                   3    53         365.25       41274.25       1143.71163      14668.16790              0.0      25991.43337          39600.0              0.0        7.3624509       91.4728048   2.2386303E-6   5.4934264E-9
  NaN                   3    54         365.25        41639.5       1043.90324      14528.82803              0.0      26031.11708          39600.0              0.0        6.6988299       90.6569682   2.2429813E-6   5.5177074E-9
  NaN                   3    55         365.25       42004.75        948.62421      14394.00715              0.0      26070.81379          39600.0              0.0        6.0664470       89.8697215   2.2316672E-6   5.5028583E-9
  NaN                   3    56         365.25        42370.0        858.78231      14264.64318              0.0      26110.49307          39600.0              0.0        5.4706905       89.1167524   2.2373279E-6   5.5291466E-9
  NaN                   3    57         365.25       42735.25        773.21839      14139.60454              0.0      26150.12707          39600.0              0.0        4.9083104       88.3950866   2.2259483E-6   5.5127576E-9
  NaN                   3    58         365.25        43100.5        692.86459      14019.84862              0.0      26189.69030          39600.0              0.0        4.3816279       87.7072991   2.2097884E-6   5.4837205E-9
  NaN                   3    59         365.25       43465.75        616.36188      13904.03938              0.0      26229.15952          39600.0              0.0        3.8855184       87.0484993   2.2221648E-6   5.5249903E-9
  NaN                   3    60         365.25        43831.0        547.46151      13795.94908              0.0      26268.51351          39600.0              0.0        3.4310036       86.4299241   2.2115346E-6   5.5080584E-9
