         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           SWI_IN          SWI_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1   173            2.0          346.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   174            2.0          348.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   175            2.0          350.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   176            2.0          352.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   177            2.0          354.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   178            2.0          356.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   179            2.0          358.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1   180            2.0          360.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1   181            2.0          362.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   182            2.0          364.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1   183            2.0          366.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1   184            2.0          368.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   185            2.0          370.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   186            2.0          372.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   187            2.0          374.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   188            2.0          376.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   189            2.0          378.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   190            2.0          380.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   191            2.0          382.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   192            2.0          384.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  4.4408921E-16  4.4408921E-14
  NaN                   1   193            2.0          386.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   194            2.0          388.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   195            2.0          390.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   196            2.0          392.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   197            2.0          394.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   198            2.0          396.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   199            2.0          398.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   200            2.0          400.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
