         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           SWT_IN          SWT_OUT         IN_OUT  PERCENT_ERROR
  NaN                   3    33         365.25       33969.25       4722.38000      18802.83701              0.0      25434.83262          39600.0              0.0       31.4693220        116.53228      0.3525909  -7.9494677E-4
  NaN                   3    34         365.25        34334.5       4446.55132      18501.35164              0.0      25460.43534          39600.0              0.0       29.6115959        114.71233      0.3363904  -7.6319962E-4
  NaN                   3    35         365.25       34699.75       4184.19738      18211.71487              0.0      25487.68502          39600.0              0.0       27.8493207        112.96778      0.3209766  -7.3261908E-4
  NaN                   3    36         365.25        35065.0       3935.09060      17933.85309              0.0      25516.42579          39600.0              0.0       26.1818046        111.29983      0.3063054  -7.0315735E-4
  NaN                   3    37         365.25       35430.25       3701.13139      17669.80926              0.0      25546.51337          39600.0              0.0       24.6099460        109.71104      0.2923351  -6.7473540E-4
  NaN                   3    38         365.25        35795.5       3480.31489      17417.71040              0.0      25577.81434          39600.0              0.0       23.1222326        108.19141      0.2790266  -6.4733969E-4
  NaN                   3    39         365.25       36160.75       3271.12777      17176.16515              0.0      25610.20530          39600.0              0.0       21.7108372        106.73450      0.2663428  -6.2094745E-4
  NaN                   3    40         365.25        36526.0       3072.59715      16944.31340              0.0      25643.57221          39600.0              0.0       20.3673388        105.33312      0.2542491  -5.9552743E-4
  NaN                   3    41         365.25       36891.25       2882.80956      16720.34590              0.0      25677.80970          39600.0              0.0       19.0834395        103.98010      0.2427127  -5.7106165E-4
  NaN                   3    42         365.25        37256.5       2701.27888      16503.87282              0.0      25712.82043          39600.0              0.0       17.8557796        102.67311      0.2317030  -5.4751214E-4
  NaN                   3    43         365.25       37621.75       2527.55141      16294.52939              0.0      25748.51450          39600.0              0.0       16.6812268        101.40994      0.2211912  -5.2484194E-4
  NaN                   3    44         365.25        37987.0       2361.20345      16091.97400              0.0      25784.80894          39600.0              0.0       15.5588372        100.19049      0.2111502  -5.0301550E-4
  NaN                   3    45         365.25       38352.25       2201.84038      15895.88780              0.0      25821.62719          39600.0              0.0       14.4864356       99.0133794      0.2015545  -4.8199836E-4
  NaN                   3    46         365.25        38717.5       2049.09305      15705.97152              0.0      25858.89863          39600.0              0.0       13.4628862       97.8781660      0.1923803  -4.6175729E-4
  NaN                   3    47         365.25       39082.75       1902.94144      15522.26960              0.0      25896.55813          39600.0              0.0       12.4894655       96.7867784      0.1836053  -4.4225691E-4
  NaN                   3    48         365.25        39448.0       1765.40831      15346.86421              0.0      25934.54567          39600.0              0.0       11.5715608       95.7451973      0.1752083  -4.2344290E-4
  NaN                   3    49         365.25       39813.25       1634.57153      15177.88794              0.0      25972.80596          39600.0              0.0       10.7003311       94.7451257      0.1671695  -4.0530513E-4
  NaN                   3    50         365.25        40178.5       1511.35771      15016.31780              0.0      26011.28810          39600.0              0.0        9.8767916       93.7880779      0.1594705  -3.8780504E-4
  NaN                   3    51         365.25       40543.75       1395.71800      14862.15130              0.0      26049.94523          39600.0              0.0        9.0996011       92.8731709      0.1520938  -3.7091617E-4
  NaN                   3    52         365.25        40909.0       1285.11693      14712.89562              0.0      26088.73426          39600.0              0.0        8.3569035       91.9889696      0.1450229  -3.5463520E-4
  NaN                   3    53         365.25       41274.25       1180.11883      14569.15430              0.0      26127.61560          39600.0              0.0        7.6516981       91.1388603      0.1382425  -3.3893058E-4
  NaN                   3    54         365.25        41639.5       1079.18206      14429.42170              0.0      26166.55288          39600.0              0.0        6.9761533       90.3153673      0.1317379  -3.2378995E-4
  NaN                   3    55         365.25       42004.75        983.46597      14294.89018              0.0      26205.51273          39600.0              0.0        6.3360576       89.5246067      0.1254956  -3.0917967E-4
  NaN                   3    56         365.25        42370.0        892.52905      14165.14852              0.0      26244.46456          39600.0              0.0        5.7288914       88.7643604      0.1195027  -2.9508068E-4
  NaN                   3    57         365.25       42735.25        805.79703      14039.65017              0.0      26283.38035          39600.0              0.0        5.1549258       88.0351771      0.1137471  -2.8147548E-4
  NaN                   3    58         365.25        43100.5        724.17667      13919.32727              0.0      26322.23447          39600.0              0.0        4.6159372       87.3390888      0.1082173  -2.6833723E-4
  NaN                   3    59         365.25       43465.75        646.84042      13803.37542              0.0      26361.00349          39600.0              0.0        4.1086294       86.6730350      0.1029026  -2.5565238E-4
  NaN                   3    60         365.25        43831.0        574.99554      13693.02304              0.0      26399.66606          39600.0              0.0        3.6376825       86.0419127      0.0977929  -2.4339505E-4
