         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT      SUB_INST_IN     SUB_INST_OUT     SUB_DELAY_IN    SUB_DELAY_OUT         IN_OUT  PERCENT_ERROR
  NaN                  16     3     48.3972678     5229.46337       3990.74538              0.0       74.3619238      25593.89496          30000.0          30000.0       5376.75139    4.6741083E-11      16152.03879              0.0      0.0025157   4.5251147E-6
  NaN                  16     4     62.9164481     5292.37982       3977.37559              0.0       75.4478649      25556.53735          30000.0          30000.0       5370.15881    2.9865260E-11      16133.58313              0.0      0.0280492   5.0487727E-5
  NaN                  16     5     81.7913826     5374.17120       3956.83812              0.0       76.8596167      25508.20021          30000.0          30000.0       5358.61162    2.1005092E-11      16115.74127              0.0      0.1495841  -2.6948143E-4
  NaN                  16     6      106.32880     5480.50000       3933.25249              0.0       78.6943956      25445.69623          30000.0          30000.0       5342.68901    2.1341248E-11      16091.03648              0.0      0.0238608  -4.3034555E-5
  NaN                  17     1     28.6374366     5509.13744       3925.00885              0.0       79.1861761      25428.89568          30000.0          30000.0       5311.60724    6.6233275E-11      16113.09260              0.0   8.2133274E-4  -1.4817772E-6
  NaN                  17     2     37.2286675     5546.36610       3918.34835              0.0       79.8269923      25407.09118          30000.0          30000.0       5338.32403    5.4045170E-11      16070.74352              0.0      0.1517142   2.7381683E-4
  NaN                  17     3     48.3972678     5594.76337       3907.84015              0.0       80.6619348      25378.81789          30000.0          30000.0       5339.69815    3.4427445E-11      16050.62007              0.0      0.0024117   4.3548591E-6
  NaN                  17     4     62.9164481     5657.67982       3895.01186              0.0       81.7484366      25342.17213          30000.0          30000.0       5333.46910    3.5813737E-11      16031.96523              0.0      0.0225030   4.0661635E-5
  NaN                  17     5     81.7913826     5739.47120       3875.35007              0.0       83.1607363      25294.74994          30000.0          30000.0       5322.09107    2.5252813E-11      16014.00510              0.0      0.1429650  -2.5855115E-4
  NaN                  17     6      106.32880     5845.80000       3852.73910              0.0       84.9959740      25233.41897          30000.0          30000.0       5307.00257    1.9673295E-11      15988.65763              0.0      0.0237015  -4.2911503E-5
  NaN                  18     1     28.6374366     5874.43744       3844.77761              0.0       85.4878439      25216.93357          30000.0          30000.0       5275.38067    6.2882706E-11      16011.28441              0.0      0.0030331  -5.4931220E-6
  NaN                  18     2     37.2286675     5911.66610       3838.39100              0.0       86.1287201      25195.53630          30000.0          30000.0       5302.06741    5.5517075E-11      15969.10403              0.0      0.1548546   2.8055604E-4
  NaN                  18     3     48.3972678     5960.06337       3828.33681              0.0       86.9636672      25167.78938          30000.0          30000.0       5303.76017    4.1023533E-11      15948.73099              0.0      0.0022447   4.0689166E-6
  NaN                  18     4     62.9164481     6022.97982       3816.01347              0.0       88.0500608      25131.82289          30000.0          30000.0       5297.57287    3.4563328E-11      15930.20431              0.0      0.0178187   3.2320121E-5
  NaN                  18     5     81.7913826     6104.77120       3797.19758              0.0       89.4620339      25085.27462          30000.0          30000.0       5286.38635    2.8888951E-11      15912.09468              0.0      0.1339736  -2.4321162E-4
  NaN                  18     6      106.32880     6211.10000       3775.49875              0.0       91.2966042      25025.06535          30000.0          30000.0       5271.98646    1.5191205E-11      15886.26009              0.0      0.0234438  -4.2605617E-5
  NaN                  19     1     28.6374366     6239.73744       3767.78001              0.0       91.7882072      25008.88145          30000.0          30000.0       5240.04770    8.4978990E-11      15909.26967              0.0      0.0041375   7.5215253E-6
  NaN                  19     2     37.2286675     6276.96610       3761.72064              0.0       92.4287588      24987.87401          30000.0          30000.0       5266.58569    6.7835880E-11      15867.15594              0.0      0.0170070   3.0928628E-5
  NaN                  19     3     48.3972678     6325.36337       3752.08111              0.0       93.2632574      24960.63104          30000.0          30000.0       5268.57682    3.7086552E-11      15846.71197              0.0      0.0021253   3.8669031E-6
  NaN                  19     4     62.9164481     6388.27982       3740.24472              0.0       94.3489634      24925.31512          30000.0          30000.0       5262.38281    3.3616486E-11      15828.35287              0.0      0.0142386   2.5923652E-5
  NaN                  19     5     81.7913826     6470.07120       3722.20269              0.0       95.7598339      24879.60464          30000.0          30000.0       5251.34655    2.2812041E-11      15810.16312              0.0      0.1324451  -2.4133783E-4
  NaN                  19     6      106.32880     6576.40000       3701.39403              0.0       97.5927281      24820.47165          30000.0          30000.0       5237.43373    2.2949326E-11      15784.02773    9.1770243E-15      0.0234391  -4.2756163E-5
  NaN                  20     1     28.6374366     6605.03744       3693.88038              0.0       98.0839755      24804.57662          30000.0          30000.0       5205.76113    7.3140845E-11      15806.85331              0.0      0.0021786   3.9752595E-6
  NaN                  20     2     37.2286675     6642.26610       3688.14437              0.0       98.7239281      24783.94353          30000.0          30000.0       5231.71951    4.8749977E-11      15765.37170              0.0      0.0159810   2.9171000E-5
  NaN                  20     3     48.3972678     6690.66337       3678.89242              0.0       99.5575189      24757.18446          30000.0          30000.0       5233.89693    3.2557614E-11      15744.84011              0.0      0.0025188   4.5998630E-6
  NaN                  20     4     62.9164481     6753.57982       3667.52373              0.0        100.64190      24722.49370          30000.0          30000.0       5227.51042    2.7552364E-11      15726.83002    5.8590202E-14      0.0123575   2.2582161E-5
  NaN                  20     5     81.7913826     6835.37120       3650.23004              0.0        102.05088      24677.58810          30000.0          30000.0       5216.71252    3.0568024E-11      15708.46834              0.0      0.1263316  -2.3104852E-4
  NaN                  20     6      106.32880     6941.70000       3630.25510              0.0        103.88107      24619.48989          30000.0          30000.0       5203.07061    1.5507689E-11      15682.26044              0.0      0.0226775  -4.1519146E-5
  NaN                  21     1     28.6374366     6970.33744       3622.95798              0.0        104.37150      24603.87298          30000.0          30000.0       5171.39238    7.2362751E-11      15705.15475              0.0      0.0036401   6.6663465E-6
  NaN                  21     2     37.2286675     7007.56610       3617.51226              0.0        105.01044      24583.59982          30000.0          30000.0       5197.40106    6.5124155E-11      15663.83661              0.0      0.1605511   2.9413747E-4
  NaN                  21     3     48.3972678     7055.96337       3608.64510              0.0        105.84269      24557.30628          30000.0          30000.0       5199.46061    3.4230127E-11      15643.36029              0.0      0.0024139   4.4246125E-6
  NaN                  21     4     62.9164481     7118.87982       3597.72093              0.0        106.92522      24523.21693          30000.0          30000.0       5192.96961    4.0446755E-11      15625.60704              0.0      0.0058729   1.0771349E-5
  NaN                  21     5     81.7913826     7200.67120       3581.10739              0.0        108.33164      24479.08642          30000.0          30000.0       5182.25889    2.5247253E-11      15607.26186              0.0      0.1266378  -2.3245249E-4
  NaN                  21     6      106.32880     7307.00000       3561.94062              0.0        110.15828      24421.98524          30000.0          30000.0       5169.05529    2.2162395E-11      15580.80863              0.0      0.0224203  -4.1197175E-5
  NaN                  22     1     28.6374366     7335.63744       3554.88495              0.0        110.64769      24406.63583          30000.0          30000.0       5137.00255    6.5883926E-11      15604.09987              0.0   7.7469662E-4  -1.4239010E-6
  NaN                  22     2     37.2286675     7372.86610       3549.68766              0.0        111.28529      24386.70948          30000.0          30000.0       5163.02516    5.4442156E-11      15562.73155              0.0      0.0201669   3.7080626E-5
  NaN                  22     3     48.3972678     7421.26337       3541.18211              0.0        112.11578      24360.86452          30000.0          30000.0       5165.36697    4.9545830E-11      15542.20213              0.0      0.0024762   4.5551447E-6
  NaN                  22     4     62.9164481     7484.17982       3530.68198              0.0        113.19596      24327.35502          30000.0          30000.0       5158.89746    3.0667545E-11      15524.58281              0.0      0.0031824   5.8577591E-6
  NaN                  22     5     81.7913826     7565.97120       3514.74558              0.0        114.59922      24283.97131          30000.0          30000.0       5148.29048    2.3545941E-11      15506.20905              0.0      0.1269825  -2.3392299E-4
  NaN                  22     6      106.32880     7672.30000       3496.32965              0.0        116.42152      24227.83124          30000.0          30000.0       5135.26984    1.8467237E-11      15479.78804              0.0      0.0221848  -4.0910277E-5
  NaN                  23     1     28.6374366     7700.93744       3489.51638              0.0        116.90983      24212.73991          30000.0          30000.0       5103.64232    6.5264627E-11      15502.67072              0.0   6.5377139E-4  -1.2059368E-6
  NaN                  23     2     37.2286675     7738.16610       3484.55569              0.0        117.54591      24193.14783          30000.0          30000.0       5129.07381    5.2945822E-11      15461.99157              0.0      0.0191584   3.5351994E-5
  NaN                  23     3     48.3972678     7786.56337       3476.34419              0.0        118.37435      24167.73531          30000.0          30000.0       5131.68169    3.9839620E-11      15441.33726              0.0      0.0021741   4.0135643E-6
  NaN                  23     4     62.9164481     7849.47982       3465.83960              0.0        119.45170      24134.78473          30000.0          30000.0       5125.65720    3.8610895E-11      15423.83940    2.9725911E-13      0.0031705   5.8566655E-6
  NaN                  23     5     81.7913826     7931.27120       3449.96676              0.0        120.85116      24092.12153          30000.0          30000.0       5115.69784    2.7293276E-11      15405.48589              0.0      0.1198802  -2.2162255E-4
  NaN                  23     6      106.32880     8037.60000       3431.75490              0.0        122.66817      24036.90906          30000.0          30000.0       5103.68201    1.7000293E-11      15378.78179              0.0      0.0221812  -4.1048296E-5
  NaN                  24     1     28.6374366     8066.23744       3424.92507              0.0        123.15506      24022.06684          30000.0          30000.0       5072.73383    6.2017771E-11      15401.25709              0.0      0.0042087   7.7906964E-6
  NaN                  24     2     37.2286675     8103.46610       3420.02120              0.0        123.78926      24002.79766          30000.0          30000.0       5097.74393    6.3965259E-11      15361.26232              0.0      0.0190534   3.5282172E-5
  NaN                  24     3     48.3972678     8151.86337       3411.94888              0.0        124.61517      23977.80316          30000.0          30000.0       5100.89594    5.6838406E-11      15340.34526              0.0      0.0020915   3.8748321E-6
  NaN                  24     4     62.9164481     8214.77982       3401.96739              0.0        125.68918      23945.39346          30000.0          30000.0       5094.97693    3.4360950E-11      15322.76268              0.0      0.0027224   5.0465852E-6
  NaN                  24     5     81.7913826     8296.57120       3386.57359              0.0        127.08417      23903.42766          30000.0          30000.0       5085.29051    2.8083468E-11      15304.36936              0.0      0.1100375  -2.0413842E-4
  NaN                  24     6      106.32880     8402.90000       3368.55429              0.0        128.89507      23849.11572          30000.0          30000.0       5074.02344    2.5508993E-11      15277.62090              0.0      0.0220142  -4.0881280E-5
  NaN                  25     1     28.6374366     8431.53744       3361.84463              0.0        129.38032      23834.51534          30000.0          30000.0       5043.62581    9.5496163E-11      15299.66781              0.0      0.0032448   6.0274514E-6
  NaN                  25     2     37.2286675     8468.76610       3356.98465              0.0        130.01238      23815.55979          30000.0          30000.0       5068.65759    5.7732566E-11      15260.06647              0.0      0.1612924   2.9971295E-4
